,Date,B1-400,B2-412.5,B3-442.5,B4-490,B5-510,B6-560,B7-620,B8-665,B9-673.75,B10-681.25,B11-708.75,B12-753.75,B16-778.75,B17-865,B18-885,B21-1020,filename
0,20190309T141223,-0.022173687321739136,-0.01634836662608696,0.002863168048565216,0.02643433816521739,0.03863988393478261,0.07309820192608694,0.08608157157391305,0.09185593897826086,0.0931034827173913,0.09487329081739132,0.11909967891304346,0.15785871869565218,0.1554647411304348,0.151440278135,0.15099125921304352,0.14082859569565215,S3A_OL_2_WFR____20190309T141223_20190309T141523_20190310T211622_0179_042_167_3060_MAR_O_NT_002_subset.txt
1,20190310T134612,0.011261866623252913,0.010895833525318699,0.02063939750348387,0.036681438483225824,0.04677622123135483,0.07718737694012902,0.09871424420007723,0.10779064594167745,0.11011844817600001,0.11147845543096775,0.10598888038064512,0.06892821773574197,0.07046514548387102,0.05034275221497672,0.045861965332709684,0.03506082273495485,S3A_OL_2_WFR____20190310T134612_20190310T134912_20190311T222357_0180_042_181_3060_MAR_O_NT_002_subset.txt
2,20190313T140838,-0.008955146283333335,-0.011856439139722223,-0.008542129620833337,0.0015864547652777719,0.008190150991666676,0.026576028286111116,0.036195462736111114,0.04082868086666666,0.04209062105277776,0.043193865399999996,0.0510615371963889,0.06512802746388889,0.0777845614472222,0.06985788789244446,0.06676839818777779,0.06584012494166666,S3A_OL_2_WFR____20190313T140838_20190313T141138_20190314T214804_0179_042_224_3060_MAR_O_NT_002_subset.txt
3,20190314T134227,0.009324534624789193,0.010286413915626902,0.018333540497291155,0.034556568627319005,0.043855973753142506,0.07140145665260941,0.09088917858866342,0.09922026568087497,0.10107928733134446,0.1022915640743834,0.09930782965091492,0.06783304872920454,0.0703340370336039,0.05184624420893867,0.04703356983118539,0.03485305721015114,S3A_OL_2_WFR____20190314T134227_20190314T134527_20190315T222121_0179_042_238_3060_MAR_O_NT_002_subset.txt
4,20190317T140455,0.0666909620680019,0.06416661192154745,0.06885995815251708,0.07659271492801177,0.08243754483775713,0.10251704468003907,0.1171125920910626,0.12345849298973555,0.12519114330585707,0.1257604561147405,0.11963789255537711,0.0954628028701274,0.10139603174946143,0.08363587306923703,0.07873538347696961,0.06255952077365226,S3A_OL_2_WFR____20190317T140455_20190317T140755_20190318T205900_0179_042_281_3060_MAR_O_NT_002_subset.txt
5,20190318T133844,0.0022311768533479397,0.0017965910853103711,0.011452931547459766,0.02775608894774683,0.036993435870805,0.06396299274266536,0.08114783449901605,0.0879425159639535,0.08945352625876578,0.09065482003177103,0.08844104326923065,0.05916174857906987,0.05976070848926651,0.041056306633865745,0.03696783636396244,0.020885345906243316,S3A_OL_2_WFR____20190318T133844_20190318T134144_20190319T213345_0179_042_295_3060_MAR_O_NT_002_subset.txt
6,20190319T141408,,,,,,,,,,,,,,,,,S3B_OL_2_WFR____20190319T141408_20190319T141708_20190320T210620_0179_023_167_3060_MAR_O_NT_002_subset.txt
7,20190320T134757,0.034007527208196726,0.03252853012622951,0.035530951201639335,0.04563778086885246,0.05226490096721311,0.07561456313114755,0.09020070920409838,0.0960584627557377,0.09729431111311473,0.09805917444262295,0.09604195210491803,0.07695727660163935,0.08183433510983608,0.06335032405506556,0.058690597988524586,0.058999785454098376,S3B_OL_2_WFR____20190320T134757_20190320T135057_20190321T224821_0179_023_181_3060_MAR_O_NT_002_subset.txt
8,20190321T140111,,,,,,,,,,,,,,,,,S3A_OL_2_WFR____20190321T140111_20190321T140411_20190322T231105_0179_042_338_3060_MAR_O_NT_002_subset.txt
9,20190322T133501,-0.013641772733333335,-0.013995787566666666,0.006262399333333332,0.030726037666333333,0.042951751333333336,0.08066652666666667,0.09660939666666667,0.10480056,0.10722373333333333,0.10905484500000001,0.12310556666666667,0.14905851,0.14023255333333332,0.13014313333333336,0.12576067999999999,0.14071475,S3A_OL_2_WFR____20190322T133501_20190322T133801_20190323T225416_0179_042_352_3060_MAR_O_NT_002_subset.txt
10,20190323T141024,0.03039375899734966,0.033535846635412044,0.04302059192224944,0.05715913104220487,0.06476154337830735,0.08675689301312475,0.10006617128289534,0.10613350942576831,0.10711965833084626,0.10782065991603568,0.11039102506881954,0.09801777454440982,0.10275537572850782,0.09086127222326275,0.08839074098295104,0.08554990964913142,S3B_OL_2_WFR____20190323T141024_20190323T141324_20190324T210000_0179_023_224_3060_MAR_O_NT_002_subset.txt
11,20190324T134413,0.05001485849208592,0.04682853876952967,0.04208532574513292,0.051966657562781224,0.05701861310411041,0.07943163161411043,0.09479693357981792,0.10163293010020437,0.1028754639775051,0.10349777942535796,0.09847098785480576,0.07078523207075667,0.07067150842597139,0.05567284044582216,0.05215070471905931,0.04977329412004088,S3B_OL_2_WFR____20190324T134413_20190324T134713_20190325T230419_0179_023_238_3060_MAR_O_NT_002_subset.txt
12,20190325T135728,,,,,,,,,,,,,,,,,S3A_OL_2_WFR____20190325T135728_20190325T140028_20190326T224511_0179_043_010_3060_MAR_O_NT_002_subset.txt
13,20190326T133117,-0.004865352729074796,-0.0051910903880867665,0.006180243444158561,0.02381393430536277,0.03506910143032158,0.06392413129902025,0.08298577352931943,0.09139484416009713,0.09312236095086027,0.09414786484846686,0.09288920587853405,0.0602760987935646,0.06025088512774885,0.04198279724641203,0.037695546813208684,0.02695588451204192,S3A_OL_2_WFR____20190326T133117_20190326T133417_20190327T220644_0179_043_024_3060_MAR_O_NT_002_subset.txt
14,20190327T140640,0.05445548697618665,0.05688530462585937,0.06549041556639368,0.07987826997765145,0.08764970104795426,0.11055684992068726,0.12696701711153857,0.13455899362670984,0.13571006112880538,0.13634116463608836,0.13178053047463195,0.10003214466697223,0.10556214340949253,0.08878942503690665,0.08529067022438626,0.07735992348298697,S3B_OL_2_WFR____20190327T140640_20190327T140940_20190328T223826_0179_023_281_3060_MAR_O_NT_002_subset.txt
15,20190328T134029,0.0008868085130881684,0.0026245696576993184,0.007080226166273537,0.022043821936812348,0.030014727789525235,0.0541135784376111,0.07146557981647274,0.07916852544988703,0.08032892787784468,0.08102832380044842,0.07729203032803314,0.04328175197481158,0.04315550610067821,0.029350477585512562,0.025896357210768647,0.020260800398528254,S3B_OL_2_WFR____20190328T134029_20190328T134329_20190329T192306_0179_023_295_3060_MAR_O_NT_002_subset.txt
