,Date,B1-400,B2-412.5,B3-442.5,B4-490,B5-510,B6-560,B7-620,B8-665,B9-673.75,B10-681.25,B11-708.75,B12-753.75,B16-778.75,B17-865,B18-885,B21-1020,filename
130,20190717T140251,-0.02306114415439904,-0.02005816732280411,-0.012661404986458014,0.0002931790200462296,0.007577011683514608,0.02925585764902073,0.041291634024124106,0.04569727051046223,0.0465737087090024,0.04698551925255476,0.03835555286951956,0.012158018341544998,0.012556028706161779,0.006370973674527401,0.004917223322675175,0.0020183992647268886,S3B_OL_2_WFR____20190717T140251_20190717T140551_20190718T223732_0179_027_338_3060_MAR_O_NT_002_subset.txt
131,20190718T133640,-0.0015513791282527481,-0.00029518552994584003,0.0016358744315478786,0.01202811700769626,0.01880078282015699,0.039801968556828896,0.05022581716116947,0.05388696044683673,0.05465539445432498,0.0549790439336186,0.048739139326818684,0.023830487220165616,0.02526079442237047,0.015027473334664839,0.012824132682998418,0.012224566149733137,S3B_OL_2_WFR____20190718T133640_20190718T133940_20190719T193700_0179_027_352_3060_MAR_O_NT_002_subset.txt
132,20190719T135004,-0.002874611631334596,-0.002534492125310606,0.002506032876159717,0.014144185819860506,0.020836467305612998,0.0406572454208649,0.05179695243874369,0.05576951453910356,0.056332962579734865,0.05670225962905941,0.04725142843788136,0.018381241597708337,0.016930629771654035,0.009324711932375006,0.00749276899695833,0.0017063438582013864,S3A_OL_2_WFR____20190719T135004_20190719T135304_20190720T232725_0179_047_124_3060_MAR_O_NT_002_subset.txt
133,20190720T132353,,,,,,,,,,,,,,,,,S3A_OL_2_WFR____20190720T132353_20190720T132653_20190721T224902_0179_047_138_3060_MAR_O_NT_002_subset.txt
134,20190721T135907,0.0019143817434740752,0.0037568180680432133,0.006561808246720362,0.0162653606844864,0.022037236067022178,0.0406767778299012,0.051092485351219075,0.054656222172629526,0.05512255630040737,0.05526346137665431,0.045739764681870354,0.016254023632495656,0.014750173165697515,0.0079419570275562,0.006290227414243836,0.0013742040831530883,S3B_OL_2_WFR____20190721T135907_20190721T140207_20190722T214638_0179_028_010_3060_MAR_O_NT_002_subset.txt
135,20190722T133256,-0.0045308465475864925,-0.002892802029785831,-0.0018623874874365747,0.009129645774835276,0.016270826315444804,0.03777375118392096,0.04870596415563428,0.05242343548941514,0.05315497467038709,0.05343645885911047,0.047331650788050225,0.02220704859778174,0.02311972296721584,0.01303072589037722,0.011002793499991762,0.00973023194856671,S3B_OL_2_WFR____20190722T133256_20190722T133556_20190723T215914_0179_028_024_3060_MAR_O_NT_002_subset.txt
136,20190722T141230,-0.014960765093782899,-0.012935339986009889,-0.0027068103326874965,0.011534592213437504,0.019569523579605275,0.042483975479605314,0.05573112698009869,0.06015846938256579,0.06120792460197356,0.06189061571299343,0.052978166642763135,0.02218084388536183,0.02423768096217107,0.013393169458483541,0.01121369607292763,0.0062035605789292824,S3A_OL_2_WFR____20190722T141230_20190722T141530_20190723T225447_0179_047_167_3060_MAR_O_NT_002_subset.txt
137,20190723T134619,-0.004415529792532513,-0.0035359582010667753,0.003903610461651896,0.016455722107482272,0.023607269606979873,0.04452030589014178,0.05584008661487,0.05928952240998821,0.06021608390839231,0.06070620891498231,0.05141130969055734,0.022070305508658378,0.02191652252139482,0.012138110524484073,0.010058522944427887,0.004879423535052009,S3A_OL_2_WFR____20190723T134619_20190723T134919_20190724T222406_0179_047_181_3060_MAR_O_NT_002_subset.txt
138,20190725T135522,-0.017340826779346452,-0.01375092349424736,-0.012040758806666189,-0.0015909078639978964,0.003582088958745607,0.023125919722213634,0.03255921478842658,0.03534757292965567,0.03630406112278288,0.03665291151992972,0.03052195947995083,0.013243507173855938,0.015861969578706954,0.008632762944829233,0.007124728209680951,0.005594676359018974,S3B_OL_2_WFR____20190725T135522_20190725T135822_20190726T213655_0179_028_067_3060_MAR_O_NT_002_subset.txt
139,20190726T132912,-0.013129886941396402,-0.012173832770797307,-0.007112461861126118,0.004599635111261263,0.012804825256171172,0.034889173764099106,0.046131120737527,0.05064975723513515,0.051411647861261296,0.05146724081036033,0.04581818214490992,0.022458077395045035,0.023416853586936945,0.01357925315201352,0.010966951111846845,0.019584223772522513,S3B_OL_2_WFR____20190726T132912_20190726T133212_20190727T203557_0179_028_081_3060_MAR_O_NT_002_subset.txt
140,20190726T140845,-0.05308970357849074,-0.053641990044481475,-0.046865235380645145,-0.03186742760336405,-0.022912663791059905,0.003612872031854846,0.01722865613274194,0.023049773545944716,0.0245074050475576,0.02545941391228109,0.023176010536635944,0.01752260410400922,0.026901898654377882,0.018172099926755766,0.01566195963026958,0.018845307330182047,S3A_OL_2_WFR____20190726T140845_20190726T141145_20190728T000636_0179_047_224_3060_MAR_O_NT_002_subset.txt
141,20190727T134234,-0.09350970130583248,-0.0862887695156197,-0.06510911092093512,-0.039557205576611514,-0.027796978811971716,0.002543032217874851,0.01858786322197991,0.02650016353272963,0.02830662870796933,0.02946952453495392,0.02912468332532352,0.016372867982018886,0.017807403649822903,0.009455031595105044,0.007233010212933888,-0.003220253279582053,S3A_OL_2_WFR____20190727T134234_20190727T134534_20190728T230442_0180_047_238_3060_MAR_O_NT_002_subset.txt
142,20190729T135138,0.007231647754687499,0.005341312146874993,0.002882760234546877,0.006782453649999997,0.0113556522578125,0.028076553292968747,0.03511745952392188,0.03817770294460938,0.038893553340937505,0.039448035971875,0.038577686339531264,0.03353469331296875,0.039302405693749994,0.03083437754510938,0.028401861385937505,0.04185794931406249,S3B_OL_2_WFR____20190729T135138_20190729T135438_20190730T232312_0179_028_124_3060_MAR_O_NT_002_subset.txt
143,20190730T132527,-0.026608070683767967,-0.024653150714248347,-0.018073359855617623,-0.0048268307398692915,0.0037301406516339884,0.026900212278758166,0.03912173892640522,0.04436481899084966,0.04511485592091504,0.04550992135326796,0.04386222089019608,0.024942599643464052,0.028295985306535928,0.01737550513749348,0.014684729978562086,0.012583799886699361,S3B_OL_2_WFR____20190730T132527_20190730T132827_20190731T212755_0179_028_138_3060_MAR_O_NT_002_subset.txt
