T550,x,y,lon,lat
1.0877,677,2629,-60.52045584720054,-3.2938479916838332
1.0945,677,2630,-60.51778784720727,-3.2944549916823007
1.1013,677,2631,-60.51511984721401,-3.2950609916807707
1.1079999,677,2632,-60.51243384722079,-3.295671991679228
1.1148,677,2633,-60.509797847227446,-3.2962709916777158
1.1215999,677,2634,-60.50714584723414,-3.296874991676191
1.1265,677,2635,-60.50449284724084,-3.2974779916746684
1.1314,677,2636,-60.50185084724751,-3.2980779916731535
1.1364,677,2637,-60.499199847254204,-3.298680991671631
1.1364,677,2638,-60.499199847254204,-3.298680991671631
1.1413,677,2639,-60.496549847260894,-3.2992839916701087
1.1462,677,2640,-60.493915847267544,-3.299881991668599
1.1510999,677,2641,-60.49126384727424,-3.300485991667074
1.1560999,677,2642,-60.48861084728094,-3.3010889916655515
1.0023999,678,2606,-60.574342847064486,-3.284321991707884
1.0043,678,2607,-60.57165684707127,-3.2849329917063415
1.0060999,678,2608,-60.56900184707797,-3.2855369917048165
1.008,678,2609,-60.56632984708472,-3.2861449917032814
1.008,678,2610,-60.56632984708472,-3.2861449917032814
1.0098,678,2611,-60.56365884709146,-3.286751991701749
1.0116999,678,2612,-60.560975847098234,-3.2873629917002063
1.0135,678,2613,-60.55831884710494,-3.2879669916986813
1.0152999,678,2614,-60.555659847111656,-3.288571991697154
1.0172,678,2615,-60.55296584711846,-3.289184991695606
1.0189999,678,2616,-60.5502958471252,-3.2897919916940737
1.0209,678,2617,-60.547627847131935,-3.290398991692541
1.0272,678,2618,-60.54501584713853,-3.2909929916910414
1.0272,678,2619,-60.54501584713853,-3.2909929916910414
1.0336,678,2620,-60.54236984714521,-3.291593991689524
1.04,678,2621,-60.53972484715189,-3.292195991688004
1.0462999,678,2622,-60.537055847158626,-3.2928029916864716
1.0591,678,2624,-60.53171184717212,-3.294017991683404
1.0655,678,2625,-60.52903784717887,-3.294625991681869
1.0718,678,2626,-60.52636784718561,-3.295233991680334
1.0782,678,2627,-60.52369784719235,-3.2958409916788014
1.0782,678,2628,-60.52369784719235,-3.2958409916788014
1.0846,678,2629,-60.52103284719908,-3.2964469916772714
1.0909,678,2630,-60.5183718472058,-3.297051991675744
1.0972999,678,2631,-60.515711847212515,-3.2976569916742164
1.1036999,678,2632,-60.51305484721922,-3.2982609916726915
1.11,678,2633,-60.510400847225924,-3.2988649916711665
1.1164,678,2634,-60.507746847232625,-3.299467991669644
1.1209999,678,2635,-60.505092847239325,-3.3000709916681217
1.1257,678,2636,-60.502449847246,-3.3006719916666043
1.1302999,678,2637,-60.49979884725269,-3.301274991665082
1.1302999,678,2638,-60.49979884725269,-3.301274991665082
1.1349,678,2639,-60.497147847259384,-3.3018779916635594
1.1395999,678,2640,-60.49451484726603,-3.302476991662047
1.1442,678,2641,-60.49186084727273,-3.3030799916605247
1.1534,678,2643,-60.48653084728619,-3.3042919916574647
0.99619997,679,2601,-60.58558284703611,-3.2844949917074473
0.99619997,679,2602,-60.58558284703611,-3.2844949917074473
0.99799997,679,2603,-60.58292384704282,-3.28509999170592
1.0016999,679,2605,-60.577622847056205,-3.286305991702875
1.0035,679,2606,-60.574937847062984,-3.2869169917013323
1.0052999,679,2607,-60.572255847069755,-3.2875269916997922
1.0071,679,2608,-60.56956984707654,-3.2881379916982496
1.0088999,679,2609,-60.56689984708328,-3.288744991696717
1.0088999,679,2610,-60.56689984708328,-3.288744991696717
1.0108,679,2611,-60.56422884709002,-3.289352991695182
