strdate,dttime,B8m,B8kd.min,B8kd.max,kde.flag,T865m,T865.kd.min,T865.kd.max
20190111T134957,2019-01-11 13:49:57,0.16204719,,,False,0.0,,
20190115T134613,2019-01-15 13:46:13,0.13980401165789472,0.13980401165789472,0.1487167,True,0.07517612939736842,0.09731197406551724,0.022754298502040818
20190127T133501,2019-01-27 13:35:01,0.13735613080357142,0.13258462,0.13735613080357142,True,0.047356579851785714,0.049448818250000005,0.047356579851785714
20190130T135728,2019-01-30 13:57:28,0.08868068633333333,0.08868068633333333,0.09812311,True,0.26299212666666666,0.33910761500000003,0.2357705271428571
20190207T134959,2019-02-07 13:49:59,0.13086776553333332,0.11767937,0.13086776553333332,True,0.2135852999333333,0.2940737634210526,0.15419376902173915
20190211T134615,2019-02-11 13:46:15,0.16550225875000002,0.16550225875000002,0.1737846,True,0.10669291118750003,0.11338582442666666,0.01207349075
20190222T140112,2019-02-22 14:01:12,0.115151773,0.105960265,0.12108524,True,0.1501056256097561,0.1644255987179487,0.14826479896296302
20190226T135727,2019-02-26 13:57:27,0.1197526252361809,0.08821680400000001,0.1197526252361809,True,0.14483440748592966,0.261417321923077,0.13013640825183098
20190302T135342,2019-03-02 13:53:42,0.12422393140909092,0.09750054,0.13302408,True,0.2659985631818182,0.517795262,0.1919407105882353
20190306T134957,2019-03-06 13:49:57,0.10248085249791666,0.08085574,0.121433154,True,0.12459317526791665,0.16272965833333333,0.13913848964705886
20190310T134612,2019-03-10 13:46:12,0.1174520039122807,0.114877775,0.14800256,True,0.1568663557582846,0.16279964914666664,0.1108194804074074
20190314T134227,2019-03-14 13:42:27,0.11473494988461536,0.113321334,0.14611652,True,0.0973712891776923,0.09247557653360997,0.1562204727066666
20190318T133844,2019-03-18 13:38:44,0.10046440825633804,0.10046440825633804,0.10046440825633804,True,0.2988310937008451,0.31534239703030303,0.2939756761059172
20190324T134413,2019-03-24 13:44:13,0.114571065,0.114571065,0.13710746,True,0.29921260315000003,0.5952755999999999,0.0031496063
20190326T133117,2019-03-26 13:31:17,0.1030489773884892,0.10282907,0.14166692,True,0.09276610146474823,0.0915652286724566,0.12733408255714287
20190328T134029,2019-03-28 13:40:29,0.09717058422420907,0.09550463,0.15649892,True,0.1109683840789546,0.11166441952792792,0.06299212586
20190401T133645,2019-04-01 13:36:45,0.09586999461864408,0.086880095,0.09660329,True,0.0523688772779661,0.07619366642553191,0.04673790748928571
20190402T135001,2019-04-02 13:50:01,0.10028992853153153,0.10028992853153153,0.10198676,True,0.21593246541981975,0.22543139328723405,0.1910514107952941
20190406T134617,2019-04-06 13:46:17,0.09110818875268817,0.09110818875268817,0.14382763,True,0.3281347872204301,0.3404949358333333,0.2519685
20190410T134233,2019-04-10 13:42:33,0.0973591343034188,0.0973591343034188,0.099404894,True,0.374560869968376,0.3799170244086022,0.3732826478885058
20190413T132532,2019-04-13 13:25:32,0.0956553733372093,0.0956553733372093,0.0956553733372093,True,0.10778245728488373,0.11059890227878788,0.0966574541258278
20190414T133849,2019-04-14 13:38:49,0.1019370715497076,0.1019370715497076,0.12740257,True,0.0988350129434698,0.08870234725726872,0.17576038159215682
20190416T134758,2019-04-16 13:47:58,0.08400731990117646,0.08400731990117646,0.128428,True,0.21507734939411768,0.22628587226447536,0.20031496
20190418T133506,2019-04-18 13:35:06,0.09095029676626017,0.09095029676626017,0.111471914,True,0.18487932813536587,0.18629168135966734,0.12668416451111109
20190425T135348,2019-04-25 13:53:48,0.08739782682258065,0.08387707,0.14565875,True,0.22768605376774195,0.22356028889411766,0.17637795
20190503T134620,2019-05-03 13:46:20,0.07383353064157706,0.07383353064157706,0.12930693,True,0.2040809398996416,0.20464364913333333,0.2623172057142857
20190505T135526,2019-05-05 13:55:26,0.06572428199906542,0.06572428199906542,0.06572428199906542,True,0.1315828968940187,0.14180302218502674,0.12367345178300518
20190506T132915,2019-05-06 13:29:15,0.06638841930029155,0.04787744,0.067159034,True,0.19364109918367348,0.34393701200000004,0.18762950513157892
20190509T135141,2019-05-09 13:51:41,0.06634523416710875,0.036432996,0.112772,True,0.16281041598832893,0.27716534600000003,0.3401574733333333
20190513T134756,2019-05-13 13:47:56,0.07034541383333333,0.07034541383333333,0.07246926,True,0.3120947701126125,0.3212914948743718,0.3001451615363129
20190517T134411,2019-05-17 13:44:11,0.0763440559375,0.0763440559375,0.15027314,True,0.19055117948125,0.19002624511111108,0.324409446
20190518T135734,2019-05-18 13:57:34,0.0711552036875,0.0711552036875,0.07576525,True,0.19858267598749998,0.22244866329411764,0.15911810905999998
20190521T134026,2019-05-21 13:40:26,0.12994782,,,False,0.12913386,,
20190526T135005,2019-05-26 13:50:05,0.06273292118913043,0.06273292118913043,0.06302072,True,0.050256761058695656,0.04865293451850117,0.04844968511004785
20190529T133255,2019-05-29 13:32:55,0.06207377819254657,0.045442063,0.06435744,True,0.2259108903478261,0.28136483,0.22255638951879694
20190602T132910,2019-06-02 13:29:10,0.06945739086788155,0.029859312,0.1376568,True,0.08869119064282463,0.2834645575,0.16097987569999994
20190605T135136,2019-06-05 13:51:36,0.06642799807692308,0.05285806,0.06642799807692308,True,0.3486371869230769,0.3275590445454545,0.3640944913333334
20190607T133851,2019-06-07 13:38:51,0.07007344017615176,0.07007344017615176,0.13743706,True,0.09438149454783197,0.0962395183038348,0.28136481766666666
20190609T134751,2019-06-09 13:47:51,0.07616962435416667,0.072798856,0.14067812,True,0.2908136466666667,0.2921723002941177,0.247244085
20190610T140117,2019-06-10 14:01:17,0.0763850446304348,0.076241344,0.14023866,True,0.18870249869565212,0.19902512128571426,0.08608924000000001
20190611T133506,2019-06-11 13:35:06,0.07060868713043478,0.06933805,0.07395245,True,0.2815474114130435,0.2872751974074074,0.2726895947368422
20190613T134406,2019-06-13 13:44:06,0.06995213460496014,0.06995213460496014,0.1220008,True,0.13361137566288753,0.14000548347422884,0.2090193220545455
20190614T135732,2019-06-14 13:57:32,0.06026524166666668,0.05796686,0.06026524166666668,True,0.3419072587037037,0.36311460777777776,0.3454981141304348
20190618T135348,2019-06-18 13:53:48,0.06452675157678356,0.042786952,0.06452675157678356,True,0.07527063917363966,0.08368954028571429,0.07167389756680273
20190619T132737,2019-06-19 13:27:37,0.0727876529117647,0.0727876529117647,0.07561876599999999,True,0.05672996721764705,0.05672996721764705,0.047156605006944435
20190621T133637,2019-06-21 13:36:37,0.07155254340172168,0.069173254,0.14922939999999998,True,0.1271049141779053,0.1211371932778816,0.24366499220909085
20190624T135904,2019-06-24 13:59:04,0.059727547705093836,0.059727547705093836,0.09336223,True,0.05291000776461127,0.054596323449175414,0.5102362033333333
20190625T133253,2019-06-25 13:32:53,0.061980562087136926,0.030719932,0.06492508,True,0.2322605934605809,0.34330709000000004,0.218485188
20190628T135520,2019-06-28 13:55:20,0.06539456117948718,0.06539456117948718,0.13838923,True,0.10404084057747252,0.10642320619097292,0.2319255536363636
20190629T132909,2019-06-29 13:29:09,0.06725185227586207,0.065858945,0.06725185227586207,True,0.16964431137931035,0.17179670690909085,0.16686737627450973
20190630T134235,2019-06-30 13:42:35,0.08666035999999999,,,False,0.06614173129999999,,
20190702T135136,2019-07-02 13:51:36,0.06472059383636364,0.06228828,0.07091281,True,0.18086757242181814,0.18720146115469616,0.17293795564539008
