number_date,cams_val,pytime
1043389.8325,0.04589047203659291,2019-01-11 13:49:57
1043485.7702777778,0.07225012010815024,2019-01-15 13:46:13
1043773.5836111112,0.096505946502635,2019-01-27 13:35:01
1043845.9577777778,0.0863581007661669,2019-01-30 13:57:28
1044037.8330555556,0.06779496832140808,2019-02-07 13:49:59
1044133.7708333334,0.04094030338465715,2019-02-11 13:46:15
1044398.02,0.030359317891144766,2019-02-22 14:01:12
1044493.9575,0.03586638051642299,2019-02-26 13:57:27
1044589.895,0.1341891053654951,2019-03-02 13:53:42
1044685.8325,0.16054875343705244,2019-03-06 13:49:57
1044781.77,0.08208858030387223,2019-03-10 13:46:12
1044877.7075,0.08283110560166262,2019-03-14 13:42:27
1044973.6455555556,0.3167265744056227,2019-03-18 13:38:44
1045117.7369444445,0.17026345941647625,2019-03-24 13:44:13
1045165.5213888889,0.06105036353314586,2019-03-26 13:31:17
1045213.6747222223,0.09180328628329604,2019-03-28 13:40:29
1045309.6125,0.06030783823535546,2019-04-01 13:36:45
1045333.8336111112,0.07874721646381566,2019-04-02 13:50:01
1045429.7713888889,0.1362310499344186,2019-04-06 13:46:17
1045525.7091666666,0.049541221417395365,2019-04-10 13:42:33
1045597.4255555555,0.10096109828937694,2019-04-13 13:25:32
1045621.6469444444,0.07095070083701716,2019-04-14 13:38:49
1045669.7994444445,0.05257319971670604,2019-04-16 13:47:58
1045717.585,0.08252172006091674,2019-04-18 13:35:06
1045885.8966666666,0.0659386550769323,2019-04-25 13:53:48
1046077.7722222222,0.051954428635214045,2019-05-03 13:46:20
1046125.9238888889,0.06884687915994436,2019-05-05 13:55:26
1046149.4875,0.14489384507530612,2019-05-06 13:29:15
1046221.8613888889,0.049046204552201766,2019-05-09 13:51:41
1046317.7988888889,0.08679124052321119,2019-05-13 13:47:56
1046413.7363888889,0.044838561198056404,2019-05-17 13:44:11
1046437.9594444444,0.03419569859639471,2019-05-18 13:57:34
1046509.6738888889,0.08202670319572314,2019-05-21 13:40:26
1046629.8347222222,0.07187885745925504,2019-05-26 13:50:05
1046701.5486111111,0.15900182573332255,2019-05-29 13:32:55
1046797.4861111111,0.07522022129931161,2019-06-02 13:29:10
1046869.86,0.06934189602513796,2019-06-05 13:51:36
1046917.6475,0.0956396669885462,2019-06-07 13:38:51
1046965.7975,0.15207158962061262,2019-06-09 13:47:51
1046990.0213888889,0.05356323344709302,2019-06-10 14:01:17
1047013.585,0.06785684542955739,2019-06-11 13:35:06
1047061.735,0.0660624092932307,2019-06-13 13:44:06
1047085.9588888889,0.09186516339144535,2019-06-14 13:57:32
1047181.8966666666,0.08703874895580799,2019-06-18 13:53:48
1047205.4602777777,0.08146980922238045,2019-06-19 13:27:37
1047253.6102777778,0.07014629843107745,2019-06-21 13:36:37
1047325.9844444444,0.06296855388577094,2019-06-24 13:59:04
1047349.5480555556,0.07336390805483584,2019-06-25 13:32:53
1047421.9222222222,0.08945195617362667,2019-06-28 13:55:20
1047445.4858333333,0.08567745257652559,2019-06-29 13:29:09
1047469.7097222222,0.0548626527182261,2019-06-30 13:42:35
1047517.86,0.06729995145621448,2019-07-02 13:51:36
1047565.6475,0.058575279207177866,2019-07-04 13:38:51
1047661.585,0.11364590545996212,2019-07-08 13:35:06
1047709.7355555556,0.040383409411314464,2019-07-10 13:44:08
1047757.5227777777,0.0553576695834197,2019-07-12 13:31:22
