,str_date,dt.time,Oa08_mean,kde_flag,Oa08_kde_min,Oa08_kde_max
71,20160907T134226,2016-09-07 13:42:26,0.08193242064312267,True,0.080910675,0.13013093
72,20160910T140316,2016-09-10 14:03:16,,False,False,False
73,20160911T133913,2016-09-11 13:39:13,,False,False,False
74,20160914T140002,2016-09-14 14:00:02,,False,False,False
75,20160915T133359,2016-09-15 13:33:59,,False,False,False
76,20160918T135649,2016-09-18 13:56:49,0.08627880940169133,True,0.0682577,0.08627880940169133
77,20160919T133046,2016-09-19 13:30:46,0.10512730264583332,True,0.09731743,0.1444319
78,20160922T135335,2016-09-22 13:53:35,0.08437506234338357,True,0.0664449,0.08437506234338357
79,20160923T132732,2016-09-23 13:27:32,,False,False,False
80,20160926T135021,2016-09-26 13:50:21,0.0877147165014045,True,0.0877147165014045,0.09004792
81,20160927T132418,2016-09-27 13:24:18,,False,False,False
82,20160929T141111,2016-09-29 14:11:11,,False,False,False
83,20160930T134507,2016-09-30 13:45:07,0.09551649418518517,True,0.09551649418518517,0.09563281
84,20161003T140756,2016-10-03 14:07:56,,False,False,False
85,20161004T134152,2016-10-04 13:41:52,0.10615250700000001,True,0.10615250700000001,0.14943083
86,20161007T140441,2016-10-07 14:04:41,,False,False,False
87,20161008T133837,2016-10-08 13:38:37,0.10919536261594202,True,0.10211494,0.13575244
88,20161011T140125,2016-10-11 14:01:25,,False,False,False
89,20161012T133521,2016-10-12 13:35:21,0.10603944166666665,True,0.10603944166666665,0.10603944166666665
90,20161015T135609,2016-10-15 13:56:09,0.1057813709047619,True,0.10526445,0.1057813709047619
91,20161016T133004,2016-10-16 13:30:04,0.14221625999999998,False,False,False
92,20161016T133204,2016-10-16 13:32:04,,False,False,False
93,20161019T135251,2016-10-19 13:52:51,0.10630965821341463,True,0.10630965821341463,0.15345928
94,20161020T132647,2016-10-20 13:26:47,,False,False,False
95,20161023T134933,2016-10-23 13:49:33,0.1433227717857143,True,0.101382494,0.14516434
96,20161024T132328,2016-10-24 13:23:28,,False,False,False
97,20161026T141218,2016-10-26 14:12:18,,False,False,False
98,20161027T134614,2016-10-27 13:46:14,,False,False,False
99,20161030T140658,2016-10-30 14:06:58,,False,False,False
100,20161031T134253,2016-10-31 13:42:53,,False,False,False
101,20161103T140337,2016-11-03 14:03:37,,False,False,False
102,20161104T133732,2016-11-04 13:37:32,0.12176309090740742,True,0.10951262,0.12176309090740742
103,20161107T140016,2016-11-07 14:00:16,,False,False,False
104,20161108T133410,2016-11-08 13:34:10,,False,False,False
105,20161111T135653,2016-11-11 13:56:53,0.1382889651201923,True,0.09043245,0.1382889651201923
106,20161112T133047,2016-11-12 13:30:47,,False,False,False
107,20161115T135328,2016-11-15 13:53:28,0.10766673402985075,True,0.10766673402985075,0.13862728
108,20161116T132722,2016-11-16 13:27:22,,False,False,False
109,20161119T135002,2016-11-19 13:50:02,0.11921160181324279,True,0.11758782,0.15999635
110,20161120T132355,2016-11-20 13:23:55,,False,False,False
111,20161122T141041,2016-11-22 14:10:41,,False,False,False
112,20161123T134634,2016-11-23 13:46:34,0.15419338909090904,True,0.15419338909090904,0.16039918
113,20161126T140712,2016-11-26 14:07:12,,False,False,False
114,20161127T134104,2016-11-27 13:41:04,,False,False,False
115,20161130T140340,2016-11-30 14:03:40,,False,False,False
116,20161201T133732,2016-12-01 13:37:32,,False,False,False
117,20161204T140007,2016-12-04 14:00:07,,False,False,False
118,20161205T133359,2016-12-05 13:33:59,,False,False,False
119,20161208T135632,2016-12-08 13:56:32,0.11016693446616542,True,0.11016693446616542,0.15045625
120,20161209T133023,2016-12-09 13:30:23,,False,False,False
121,20161212T135255,2016-12-12 13:52:55,,False,False,False
122,20161213T132646,2016-12-13 13:26:46,0.15805536,True,0.15805536,0.15805537
123,20161216T134916,2016-12-16 13:49:16,,False,False,False
124,20161217T132307,2016-12-17 13:23:07,,False,False,False
125,20161219T141146,2016-12-19 14:11:46,,False,False,False
126,20161220T134536,2016-12-20 13:45:36,0.15661201705882352,True,0.14644612,0.15661201705882352
127,20161223T140804,2016-12-23 14:08:04,,False,False,False
128,20161224T134153,2016-12-24 13:41:53,0.14946745,False,False,False
129,20161227T140419,2016-12-27 14:04:19,,False,False,False
130,20161228T133808,2016-12-28 13:38:08,0.17028154846153848,True,0.16021608,0.17028154846153848
131,20161231T140032,2016-12-31 14:00:32,,False,False,False
132,20170101T133419,2017-01-01 13:34:19,,False,False,False
