Date,S3,MOD,MYD,VIR
2016-05-14,0.1078280015,0.09130581395348837,0.09902916666666667,0.10393250000000001
2016-05-18,0.06740318255555555,0.07340498614958449,0.06579183006535948,0.06491632653061225
2016-06-06,0.04933067536363636,0.07227093023255814,0.056690836012861734,0.06362214765100671
2016-06-10,0.04793719178947368,0.05116208897485493,0.04581832512315271,0.0610439024390244
2016-06-18,0.03974231400000001,0.04361735112936345,0.05148060606060605,0.05739272727272727
2016-06-26,0.05733109695999999,0.050358293838862554,0.05694731308411215,0.06743388888888889
2016-06-30,0.05678829045454546,0.050358293838862554,0.05694731308411215,0.06743388888888889
2016-07-04,0.07190405206666667,0.04892076372315036,0.04304182908545727,0.04404561403508772
2016-07-07,0.06340525766666667,0.04892076372315036,0.04304182908545727,0.04404561403508772
2016-07-11,0.05177526346666667,0.03962657142857143,0.03684146620847652,0.03917368421052632
2016-07-15,0.03370683712903226,0.03962657142857143,0.03684146620847652,0.03917368421052632
2016-07-19,0.0204602203,0.03074697247706422,0.03303741418764302,0.0441094512195122
2016-07-27,0.02566223516279069,0.03280847639484979,0.03427626970227671,0.03643103448275862
2016-07-30,0.01997055788990826,0.03280847639484979,0.03427626970227671,0.03643103448275862
2016-08-03,0.019065426732,0.03280847639484979,0.03427626970227671,0.03643103448275862
2016-08-07,0.02320829741401274,0.03476350550381033,0.0334659217877095,0.03655627530364373
2016-08-11,0.021712394725,0.03476350550381033,0.0334659217877095,0.03655627530364373
2016-08-15,0.02431595619553073,0.04256305418719212,0.03459399224806202,0.04064395604395605
2016-08-19,0.02338159931034483,0.04256305418719212,0.03459399224806202,0.04064395604395605
2016-08-30,0.009321665301652892,0.0516188524590164,0.04578685714285714,0.03899183673469388
2016-11-19,0.03126448973913044,0.04699331306990882,0.0671077380952381,0.06885
2016-11-23,0.03402116371428571,0.04699331306990882,0.0671077380952381,0.06885
2017-01-24,0.1155023877777778,0.12050964912280701,0.09406212121212121,0.12802916666666667
2017-03-23,0.1257662254545455,0.12466666666666668,0.1063909090909091,0.11735632183908047
2017-04-07,0.0930478875,0.0950093023255814,0.08926987951807229,0.09248727272727272
2017-04-11,0.0546708605,0.0950093023255814,0.08926987951807229,0.09248727272727272
2017-04-27,0.1177983975833333,0.10811194029850747,0.09738071428571428,0.1038135593220339
2017-05-04,0.06425320238461538,0.09724984615384616,0.08605351681957187,0.08606913580246914
2017-05-24,0.07290027030769232,0.088318407960199,0.06285962732919255,0.07515028901734104
2017-05-27,0.05395759863492064,0.05947535460992908,0.06788042596348885,0.07008095238095238
2017-05-28,0.07395245499999999,0.05947535460992908,0.06788042596348885,0.07008095238095238
2017-06-04,0.07357576928571428,0.06550258302583026,0.09491153846153846,0.07415113636363636
2017-06-16,0.07982327492307692,0.06856755593803787,0.071625,0.07603130434782608
2017-06-19,0.05240194736363637,0.0661967032967033,0.05781920590951062,0.06681619047619047
2017-06-24,0.0985259592,0.0661967032967033,0.05781920590951062,0.06681619047619047
2017-07-01,0.06536454594117647,0.05997877813504823,0.058360645161290324,0.06739565217391304
2017-07-09,0.0777140784285714,0.04720982839313572,0.04708944444444445,0.05425314285714286
2017-07-16,0.03946456320588235,0.04359954954954955,0.040370310559006216,0.04098401826484018
2017-07-20,0.0933164491,0.04817448618001417,0.041853169469598966,0.052619685039370076
2017-07-24,0.044386764,0.04817448618001417,0.041853169469598966,0.052619685039370076
2017-07-28,0.04157396491891892,0.0476230869001297,0.047979545454545455,0.05318738738738739
2017-08-01,0.09528031249999999,0.0476230869001297,0.047979545454545455,0.05318738738738739
2017-08-09,0.10066836,0.05022887511071745,0.04744857801691007,0.05772038834951457
2017-08-13,0.02887661516666666,0.042371349862258954,0.045034791252485086,0.03902366863905325
2017-08-16,0.02730308067058823,0.042371349862258954,0.045034791252485086,0.03902366863905325
2017-08-20,0.02740778863978495,0.042371349862258954,0.045034791252485086,0.03902366863905325
2017-08-24,0.02546004652558139,0.0451419881305638,0.03755595482546201,0.058970198675496695
2017-08-28,0.03844222681818182,0.0451419881305638,0.03755595482546201,0.058970198675496695
2017-09-01,0.03146069990909091,0.04800494623655914,0.05596585365853658,0.06152957746478874
2017-09-20,0.02503282338834951,0.08239181818181818,0.058183969465648855,0.0551725
2017-09-24,0.09083529422222221,0.07855379310344827,0.09459240506329114,0.08567380952380951
2017-10-02,0.10204626975,0.05779845916795069,0.09804375,0.08456666666666666
2017-10-10,0.08995636112500001,0.04781128526645768,0.08234130434782609,0.0734
2017-10-17,0.04363638372222221,0.06976965174129353,0.09123450704225351,0.097190625
2018-01-06,0.13188147,0.1366675925925926,0.10865345132743362,0.11479861111111112
2018-01-10,0.1488860775,0.1366675925925926,0.12821206896551723,0.12496666666666667
2018-03-01,0.113606986,0.12358980582524273,0.09738,0.11805263157894738
2018-04-28,0.05827916530555556,0.06339389312977099,0.04779218500797448,0.0564875
2018-05-02,0.05479445975,0.054785943775100404,0.04182309322033898,0.05253354430379746
2018-05-17,0.03100244723809524,0.045902966841186735,0.038413761467889905,0.04778217821782178
2018-05-21,0.0444691322,0.045902966841186735,0.038413761467889905,0.04778217821782178
2018-05-25,0.05261070493220339,0.05354051948051948,0.04993293413173653,0.04916862745098039
2018-06-02,0.05220871992307693,0.04280930693069307,0.04808456057007126,0.04830973451327434
2018-06-13,0.03780003634375,0.042739606501283146,0.042017424242424245,0.044670108695652175
2018-06-17,0.05535817998214286,0.042739606501283146,0.042017424242424245,0.044670108695652175
2018-06-25,0.04591425478723404,0.042376932440657336,0.054621559633027526,0.05511343283582089
